STATE,TOTAL,LIABILITY,COLLISION,COMP
Alabama,1014.70,478.68,366.12,169.90
Alaska,1072.19,561.06,370.63,140.50
Arizona,1125.54,607.66,312.95,204.93
Arkansas,1039.10,458.33,364.07,216.70
California,1115.73,565.70,453.88,96.15
Colorado,1194.70,639.99,326.39,228.32
Connecticut,1276.02,743.61,398.50,133.91
Delaware,1321.51,843.98,344.34,133.19
District of Columbia,1466.27,744.18,497.81,224.28
Florida,1445.57,964.28,343.41,137.88
Georgia,1286.49,735.15,381.66,169.68
Hawaii,918.13,468.99,342.17,106.97
Idaho,780.46,403.37,246.22,130.86
Illinois,976.73,507.40,336.00,133.32
Indiana,840.43,432.08,277.65,130.71
Iowa,795.10,339.12,244.39,211.60
Kansas,947.54,399.96,280.48,267.10
Kentucky,1043.82,585.99,300.45,157.38
Louisiana,1637.57,936.94,468.87,231.76
Maine,764.94,370.18,286.22,108.54
Maryland,1256.49,700.58,393.57,162.34
Massachusetts,1215.18,642.92,427.17,145.10
Michigan,1494.03,873.73,462.80,157.50
Minnesota,939.01,483.93,257.41,197.67
Mississippi,1105.92,511.45,365.06,229.41
Missouri,1002.67,492.63,305.96,204.08
Montana,969.19,423.03,278.31,267.84
Nebraska,934.30,417.32,263.68,253.30
Nevada,1258.79,798.52,344.81,115.46
New Hampshire,861.19,425.84,319.72,115.63
New Jersey,1464.74,932.43,403.19,129.12
New Mexico,1050.73,548.33,304.46,197.95
New York,1485.58,869.13,437.13,179.31
North Carolina,838.61,371.51,333.60,133.49
North Dakota,808.90,303.66,263.72,241.51
Ohio,864.64,438.68,297.50,128.46
Oklahoma,1100.90,502.71,343.57,254.61
Oregon,1043.93,677.07,265.06,101.80
Pennsylvania,1065.44,539.44,363.42,162.59
Rhode Island,1467.02,869.96,460.49,136.58
South Carolina,1145.15,645.39,302.52,197.24
South Dakota,872.40,327.34,236.35,308.71
Tennessee,957.28,456.05,343.10,158.13
Texas,1295.93,631.22,430.54,234.17
Utah,984.12,568.07,293.62,122.44
Vermont,842.36,375.02,324.51,142.83
Virginia,920.40,468.79,305.61,146.00
Washington,1077.65,666.72,297.16,113.77
West Virginia,1072.14,513.12,345.68,213.34
Wisconsin,804.81,412.46,243.52,148.83
Wyoming,935.76,354.35,290.18,291.22
Countrywide,1133.92,611.12,363.08,159.72